Model_ID,Cell_line_Name,COSMIC_ID,TCGA_Classfication,Tissue,Tissue_subtype
SIDM00502,A4-Fuk,910934,DLBC,blood,B_cell_lymphoma
SIDM00503,FU97,1290806,STAD,digestive_system,stomach
SIDM00504,MOG-G-UVW,908145,LGG,nervous_system,glioma
SIDM00505,MIA-PaCa-2,724870,PAAD,pancreas,pancreas
SIDM00506,COR-L88,906808,SCLC,lung,lung_small_cell_carcinoma
SIDM00507,COR-L321,1322213,UNCLASSIFIED,lung,lung_other
SIDM00508,COR-L32,1322212,SCLC,lung,lung_small_cell_carcinoma
SIDM00509,COR-L311,687980,SCLC,lung,lung_small_cell_carcinoma
SIDM00510,COR-L303,1297438,SCLC,lung,lung_small_cell_carcinoma
SIDM00511,COR-L279,910937,SCLC,lung,lung_small_cell_carcinoma
SIDM00512,COR-L23,687780,UNCLASSIFIED,lung,lung_NSCLC_large_cell
SIDM00513,COR-L105,906805,LUAD,lung,lung_NSCLC_adenocarcinoma
SIDM00515,COLO-800,906813,SKCM,skin,melanoma
SIDM00516,MZ7-mel,753596,SKCM,skin,melanoma
SIDM00522,DMS-273,687985,SCLC,lung,lung_small_cell_carcinoma
SIDM00523,DMS-53,907295,SCLC,lung,lung_small_cell_carcinoma
SIDM00524,DMS-79,753551,SCLC,lung,lung_small_cell_carcinoma
SIDM00525,MG-63,908131,UNCLASSIFIED,bone,osteosarcoma
SIDM00526,MEG-01,908126,LCML,blood,chronic_myeloid_leukaemia
SIDM00527,MDST8,1240173,COREAD,digestive_system,large_intestine
SIDM00528,MDA-MB-361,908121,BRCA,breast,breast
SIDM00529,MDA-MB-157,925338,BRCA,breast,breast
SIDM00530,KYAE-1,1503368,ESCA,aero_digestive_tract,oesophagus
SIDM00531,HuP-T4,907286,PAAD,pancreas,pancreas
SIDM00532,MOG-G-CCM,908144,LGG,nervous_system,glioma
SIDM00533,HuP-T3,907285,PAAD,pancreas,pancreas
SIDM00534,HT-115,907289,COREAD,digestive_system,large_intestine
SIDM00535,H-EMC-SS,907290,UNCLASSIFIED,bone,chondrosarcoma
SIDM00537,GP5d,907291,COREAD,digestive_system,large_intestine
SIDM00538,ESO51,1503367,ESCA,aero_digestive_tract,oesophagus
SIDM00539,ESO26,1503366,ESCA,aero_digestive_tract,oesophagus
